emotion_practice,emotion_comp,file,file_emotion,file_emotion_level,file_gender,file_id,file_duration,size_w,size_h,practice.thisRepN,practice.thisTrialN,practice.thisN,practice.thisIndex,istr_loop_practice.thisRepN,istr_loop_practice.thisTrialN,istr_loop_practice.thisN,istr_loop_practice.thisIndex,loop_emotion_identication.thisRepN,loop_emotion_identication.thisTrialN,loop_emotion_identication.thisN,loop_emotion_identication.thisIndex,loop_practice.thisRepN,loop_practice.thisTrialN,loop_practice.thisN,loop_practice.thisIndex,random_by_pt_num.thisRepN,random_by_pt_num.thisTrialN,random_by_pt_num.thisN,random_by_pt_num.thisIndex,loop_itr_exp.thisRepN,loop_itr_exp.thisTrialN,loop_itr_exp.thisN,loop_itr_exp.thisIndex,loop_exp.thisRepN,loop_exp.thisTrialN,loop_exp.thisN,loop_exp.thisIndex,wheelresp_angle,wheelresp_cake,wheelresp_norm,wheelresp_emotion,wheelresp_level,Wheelresp.x,Wheelresp.y,Wheelresp.leftButton,Wheelresp.midButton,Wheelresp.rightButton,Wheelresp.time,Wheelresp.clicked_name,Wheelresp.started,Wheelresp.stopped,file_emotion,wheelresp.x,wheelresp.y,wheelresp.leftButton,wheelresp.midButton,wheelresp.rightButton,wheelresp.time,wheelresp.clicked_name,wheelresp.started,wheelresp.stopped,compound_angle,compound_cake,compound_norm,compound_emotion,compound_level,compound.x,compound.y,compound.leftButton,compound.midButton,compound.rightButton,compound.time,compound.clicked_name,compound.started,compound.stopped,kb_end_training.keys,kb_end_training.rt,participant,session,group,age,gender,education,practice,experimenter,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,03,001,healthy,24,f,18,1,benedetta,2022-03-16_09h49.28.323,pilot_AIM1,2022.1.1,85.0016864231905,
DISPREZZO,INVIDIA,,,,,,,,,0,0,0,0,,,,,0,0,0,5,,,,,,,,,,,,,,,,,122.70230712633999,disprezzo,209.15305400591214,Disprezzo,4,[-113.0],[176.0],[1],[0],[0],[2.0877265066228574],['Disprezzo_4'],0.011182044013139603,None,,,,,,,,,,,,,,,,,,,,,,,,,,,03,001,healthy,24,f,18,1,benedetta,2022-03-16_09h49.28.323,pilot_AIM1,2022.1.1,85.0016864231905,
VERGOGNA,TRISTEZZA,,,,,,,,,0,0,0,0,,,,,0,1,1,9,,,,,,,,,,,,,,,,,-147.28395544110717,vergogna,179.47144619688115,Vergogna,4,[-151.0],[-97.0],[1],[0],[0],[2.135018379088251],['Vergogna_4'],0.011164764118348103,None,,,,,,,,,,,,,,,,,,,,,,,,,,,03,001,healthy,24,f,18,1,benedetta,2022-03-16_09h49.28.323,pilot_AIM1,2022.1.1,85.0016864231905,
SODDISFAZIONE,EUFORIA,,,,,,,,,0,0,0,0,,,,,0,2,2,0,,,,,,,,,,,,,,,,,7.594643368591445,soddisfazione,211.85844330590177,Soddisfazione,4,[210.0],[28.0],[1],[0],[0],[4.605620957824613],['Soddisfazione_4'],0.011170204085146906,None,,,,,,,,,,,,,,,,,,,,,,,,,,,03,001,healthy,24,f,18,1,benedetta,2022-03-16_09h49.28.323,pilot_AIM1,2022.1.1,85.0016864231905,
EUFORIA,GIOIA,,,,,,,,,0,0,0,0,,,,,0,3,3,1,,,,,,,,,,,,,,,,,62.07396602994594,euforia,207.1183236703117,Euforia,4,[97.0],[183.0],[1],[0],[0],[1.71119727592054],['Euforia_4'],0.011195163933280128,None,,,,,,,,,,,,,,,,,,,,,,,,,,,03,001,healthy,24,f,18,1,benedetta,2022-03-16_09h49.28.323,pilot_AIM1,2022.1.1,85.0016864231905,
PAURA,NEUTRO,,,,,,,,,0,0,0,0,,,,,0,4,4,10,,,,,,,,,,,,,,,,,-123.76555599285793,paura,210.50890717496966,Paura,4,[-117.0],[-175.0],[1],[0],[0],[4.393875045239838],['Paura_4'],0.01118236401134709,None,,,,,,,,,,,,,,,,,,,,,,,,,,,03,001,healthy,24,f,18,1,benedetta,2022-03-16_09h49.28.323,pilot_AIM1,2022.1.1,85.0016864231905,
INVIDIA,NEUTRO,,,,,,,,,0,0,0,0,,,,,0,5,5,7,,,,,,,,,,,,,,,,,171.15232157947543,invidia,214.55302374937528,Invidia,4,[-212.0],[33.0],[1],[0],[0],[5.523284818428465],['Invidia_4'],0.011225883746647014,None,,,,,,,,,,,,,,,,,,,,,,,,,,,03,001,healthy,24,f,18,1,benedetta,2022-03-16_09h49.28.323,pilot_AIM1,2022.1.1,85.0016864231905,
TRISTEZZA,NEUTRO,,,,,,,,,0,0,0,0,,,,,0,6,6,11,,,,,,,,,,,,,,,,,-98.70737027152042,tristezza,224.58851261807672,Tristezza,4,[-34.0],[-222.0],[1],[0],[0],[2.3463732540506044],['Tristezza_4'],0.011184923995642748,None,,,,,,,,,,,,,,,,,,,,,,,,,,,03,001,healthy,24,f,18,1,benedetta,2022-03-16_09h49.28.323,pilot_AIM1,2022.1.1,85.0016864231905,
SORPRESA,GIOIA,,,,,,,,,0,0,0,0,,,,,0,7,7,12,,,,,,,,,,,,,,,,,-81.2538377374448,sorpresa,184.14125013152267,Sorpresa,4,[28.0],[-182.0],[1],[0],[0],[3.7112561555625234],['Sorpresa_4'],0.01108444460624014,None,,,,,,,,,,,,,,,,,,,,,,,,,,,03,001,healthy,24,f,18,1,benedetta,2022-03-16_09h49.28.323,pilot_AIM1,2022.1.1,85.0016864231905,
GIOIA,SODDISFAZIONE,,,,,,,,,0,0,0,0,,,,,0,8,8,2,,,,,,,,,,,,,,,,,30.196019843729506,gioia,204.78769494283586,Gioia,4,[177.0],[103.0],[1],[0],[0],[1.5702112531155308],['Gioia_4'],0.011169564088959305,None,,,,,,,,,,,,,,,,,,,,,,,,,,,03,001,healthy,24,f,18,1,benedetta,2022-03-16_09h49.28.323,pilot_AIM1,2022.1.1,85.0016864231905,
SOLLIEVO,GIOIA,,,,,,,,,0,0,0,0,,,,,0,9,9,15,,,,,,,,,,,,,,,,,-97.92325928337866,tristezza,195.86985475054604,Tristezza,4,[-27.0],[-194.0],[1],[0],[0],[2.5113930507302484],['Tristezza_4'],0.011206363865085223,None,,,,,,,,,,,,,,,,,,,,,,,,,,,03,001,healthy,24,f,18,1,benedetta,2022-03-16_09h49.28.323,pilot_AIM1,2022.1.1,85.0016864231905,
ORGOGLIO,NEUTRO,,,,,,,,,0,0,0,0,,,,,0,10,10,3,,,,,,,,,,,,,,,,,71.47510497229699,orgoglio,201.43733516902967,Orgoglio,4,[64.0],[191.0],[1],[0],[0],[1.9937347580928417],['Orgoglio_4'],0.011182364011119716,None,,,,,,,,,,,,,,,,,,,,,,,,,,,03,001,healthy,24,f,18,1,benedetta,2022-03-16_09h49.28.323,pilot_AIM1,2022.1.1,85.0016864231905,
INTERESSE,SORPRESA,,,,,,,,,0,0,0,0,,,,,0,11,11,13,,,,,,,,,,,,,,,,,-54.891619726822185,interesse,201.6953147695801,Interesse,4,[116.0],[-165.0],[1],[0],[0],[3.335098442601293],['Interesse_4'],0.011161244139429982,None,,,,,,,,,,,,,,,,,,,,,,,,,,,03,001,healthy,24,f,18,1,benedetta,2022-03-16_09h49.28.323,pilot_AIM1,2022.1.1,85.0016864231905,
DISGUSTO,NEUTRO,,,,,,,,,0,0,0,0,,,,,0,12,12,6,,,,,,,,,,,,,,,,,147.2647737278924,disgusto,216.3631207022121,Disgusto,4,[-182.0],[117.0],[1],[0],[0],[1.7113959947123476],['Disgusto_4'],0.011169884087166793,None,,,,,,,,,,,,,,,,,,,,,,,,,,,03,001,healthy,24,f,18,1,benedetta,2022-03-16_09h49.28.323,pilot_AIM1,2022.1.1,85.0016864231905,
COLPA,VERGOGNA,,,,,,,,,0,0,0,0,,,,,0,13,13,8,,,,,,,,,,,,,,,,,-166.67546873810923,colpa,195.25624189766637,Colpa,4,[-190.0],[-45.0],[1],[0],[0],[2.3467601316983746],['Colpa_4'],0.01122684374081473,None,,,,,,,,,,,,,,,,,,,,,,,,,,,03,001,healthy,24,f,18,1,benedetta,2022-03-16_09h49.28.323,pilot_AIM1,2022.1.1,85.0016864231905,
