emotion_practice,emotion_comp,file,file_emotion,file_emotion_level,file_gender,file_id,file_duration,size_w,size_h,practice.thisRepN,practice.thisTrialN,practice.thisN,practice.thisIndex,istr_loop_practice.thisRepN,istr_loop_practice.thisTrialN,istr_loop_practice.thisN,istr_loop_practice.thisIndex,loop_emotion_identication.thisRepN,loop_emotion_identication.thisTrialN,loop_emotion_identication.thisN,loop_emotion_identication.thisIndex,loop_practice.thisRepN,loop_practice.thisTrialN,loop_practice.thisN,loop_practice.thisIndex,random_by_pt_num.thisRepN,random_by_pt_num.thisTrialN,random_by_pt_num.thisN,random_by_pt_num.thisIndex,loop_itr_exp.thisRepN,loop_itr_exp.thisTrialN,loop_itr_exp.thisN,loop_itr_exp.thisIndex,loop_exp.thisRepN,loop_exp.thisTrialN,loop_exp.thisN,loop_exp.thisIndex,wheelresp_angle,wheelresp_cake,wheelresp_norm,wheelresp_emotion,wheelresp_level,Wheelresp.x,Wheelresp.y,Wheelresp.leftButton,Wheelresp.midButton,Wheelresp.rightButton,Wheelresp.time,Wheelresp.clicked_name,Wheelresp.started,Wheelresp.stopped,file_emotion,wheelresp.x,wheelresp.y,wheelresp.leftButton,wheelresp.midButton,wheelresp.rightButton,wheelresp.time,wheelresp.clicked_name,wheelresp.started,wheelresp.stopped,compound_angle,compound_cake,compound_norm,compound_emotion,compound_level,compound.x,compound.y,compound.leftButton,compound.midButton,compound.rightButton,compound.time,compound.clicked_name,compound.started,compound.stopped,kb_end_training.keys,kb_end_training.rt,participant,session,group,age,gender,education,practice,experimenter,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,08,001,healthy,24,f,18,1,aurora,2022-03-31_15h07.34.961,pilot_AIM1,2022.1.1,60.02787724769824,
COLPA,VERGOGNA,,,,,,,,,0,0,0,0,,,,,0,0,0,8,,,,,,,,,,,,,,,,,-169.25227390162794,colpa,219.85677155821242,Colpa,4,[-216.0],[-41.0],[1],[0],[0],[1.4579216335768024],['Colpa_4'],0.01607899760347209,None,,,,,,,,,,,,,,,,,,,,,,,,,,,08,001,healthy,24,f,18,1,aurora,2022-03-31_15h07.34.961,pilot_AIM1,2022.1.1,60.02787724769824,
INVIDIA,NEUTRO,,,,,,,,,0,0,0,0,,,,,0,1,1,7,,,,,,,,,,,,,,,,,166.0382633555028,invidia,186.51005334833832,Invidia,4,[-181.0],[45.0],[1],[0],[0],[3.1574070035356954],['Invidia_4'],0.016085412037568858,None,,,,,,,,,,,,,,,,,,,,,,,,,,,08,001,healthy,24,f,18,1,aurora,2022-03-31_15h07.34.961,pilot_AIM1,2022.1.1,60.02787724769824,
RABBIA,DISPREZZO,,,,,,,,,0,0,0,0,,,,,0,2,2,4,,,,,,,,,,,,,,,,,0.0,soddisfazione,0.0,Neutral,1,[0.0],[0.0],[1],[0],[0],[0.35425539967059194],['Neutral_1'],0.016088298532849876,None,,,,,,,,,,,,,,,,,,,,,,,,,,,08,001,healthy,24,f,18,1,aurora,2022-03-31_15h07.34.961,pilot_AIM1,2022.1.1,60.02787724769824,
VERGOGNA,TRISTEZZA,,,,,,,,,0,0,0,0,,,,,0,3,3,9,,,,,,,,,,,,,,,,,-143.8870147555428,vergogna,196.81717404738845,Vergogna,4,[-159.0],[-114.0],[1],[0],[0],[2.3229141543466767],['Vergogna_4'],0.016099523792377113,None,,,,,,,,,,,,,,,,,,,,,,,,,,,08,001,healthy,24,f,18,1,aurora,2022-03-31_15h07.34.961,pilot_AIM1,2022.1.1,60.02787724769824,
DISGUSTO,NEUTRO,,,,,,,,,0,0,0,0,,,,,0,4,4,6,,,,,,,,,,,,,,,,,146.54252570043687,disgusto,204.9634113689563,Disgusto,4,[-171.0],[113.0],[1],[0],[0],[1.041828524218431],['Disgusto_4'],0.01609375080170139,None,,,,,,,,,,,,,,,,,,,,,,,,,,,08,001,healthy,24,f,18,1,aurora,2022-03-31_15h07.34.961,pilot_AIM1,2022.1.1,60.02787724769824,
SODDISFAZIONE,EUFORIA,,,,,,,,,0,0,0,0,,,,,0,5,5,0,,,,,,,,,,,,,,,,,7.475737385548222,soddisfazione,222.89459392277777,Soddisfazione,4,[221.0],[29.0],[1],[0],[0],[2.2906408917602903],['Soddisfazione_4'],0.01607739399514685,None,,,,,,,,,,,,,,,,,,,,,,,,,,,08,001,healthy,24,f,18,1,aurora,2022-03-31_15h07.34.961,pilot_AIM1,2022.1.1,60.02787724769824,
SPERANZA,NEUTRO,,,,,,,,,0,0,0,0,,,,,0,6,6,14,,,,,,,,,,,,,,,,,-33.92552830802987,speranza,202.46728130737569,Speranza,4,[168.0],[-113.0],[1],[0],[0],[1.3715756544005444],['Speranza_4'],0.016074828221462667,None,,,,,,,,,,,,,,,,,,,,,,,,,,,08,001,healthy,24,f,18,1,aurora,2022-03-31_15h07.34.961,pilot_AIM1,2022.1.1,60.02787724769824,
DISPREZZO,INVIDIA,,,,,,,,,0,0,0,0,,,,,0,7,7,5,,,,,,,,,,,,,,,,,126.44816976617996,disprezzo,190.20515240129538,Disprezzo,4,[-113.0],[153.0],[1],[0],[0],[1.8367738219250214],['Disprezzo_4'],0.016084770594147813,None,,,,,,,,,,,,,,,,,,,,,,,,,,,08,001,healthy,24,f,18,1,aurora,2022-03-31_15h07.34.961,pilot_AIM1,2022.1.1,60.02787724769824,
GIOIA,SODDISFAZIONE,,,,,,,,,0,0,0,0,,,,,0,8,8,2,,,,,,,,,,,,,,,,,28.37924308610794,gioia,197.76754030932378,Gioia,4,[174.0],[94.0],[1],[0],[0],[2.023297865789573],['Gioia_4'],0.01608124265544575,None,,,,,,,,,,,,,,,,,,,,,,,,,,,08,001,healthy,24,f,18,1,aurora,2022-03-31_15h07.34.961,pilot_AIM1,2022.1.1,60.02787724769824,
ORGOGLIO,NEUTRO,,,,,,,,,0,0,0,0,,,,,0,9,9,3,,,,,,,,,,,,,,,,,76.0417099254886,orgoglio,178.2638493918495,Orgoglio,4,[43.0],[173.0],[1],[0],[0],[1.2881392624940418],['Orgoglio_4'],0.016071300282646916,None,,,,,,,,,,,,,,,,,,,,,,,,,,,08,001,healthy,24,f,18,1,aurora,2022-03-31_15h07.34.961,pilot_AIM1,2022.1.1,60.02787724769824,
