emotion_practice,emotion_comp,file,file_emotion,file_emotion_level,file_gender,file_id,file_duration,size_w,size_h,practice.thisRepN,practice.thisTrialN,practice.thisN,practice.thisIndex,istr_loop_practice.thisRepN,istr_loop_practice.thisTrialN,istr_loop_practice.thisN,istr_loop_practice.thisIndex,loop_emotion_identication.thisRepN,loop_emotion_identication.thisTrialN,loop_emotion_identication.thisN,loop_emotion_identication.thisIndex,loop_practice.thisRepN,loop_practice.thisTrialN,loop_practice.thisN,loop_practice.thisIndex,random_by_pt_num.thisRepN,random_by_pt_num.thisTrialN,random_by_pt_num.thisN,random_by_pt_num.thisIndex,loop_itr_exp.thisRepN,loop_itr_exp.thisTrialN,loop_itr_exp.thisN,loop_itr_exp.thisIndex,loop_exp.thisRepN,loop_exp.thisTrialN,loop_exp.thisN,loop_exp.thisIndex,wheelresp_angle,wheelresp_cake,wheelresp_norm,wheelresp_emotion,wheelresp_level,Wheelresp.x,Wheelresp.y,Wheelresp.leftButton,Wheelresp.midButton,Wheelresp.rightButton,Wheelresp.time,Wheelresp.clicked_name,Wheelresp.started,Wheelresp.stopped,file_emotion,wheelresp.x,wheelresp.y,wheelresp.leftButton,wheelresp.midButton,wheelresp.rightButton,wheelresp.time,wheelresp.clicked_name,wheelresp.started,wheelresp.stopped,compound_angle,compound_cake,compound_norm,compound_emotion,compound_level,compound.x,compound.y,compound.leftButton,compound.midButton,compound.rightButton,compound.time,compound.clicked_name,compound.started,compound.stopped,kb_end_training.keys,kb_end_training.rt,participant,session,group,age,gender,education,practice,experimenter,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,07,001,healthy,23,f,17,1,aurora,2022-03-31_08h56.38.359,pilot_AIM1,2022.1.1,84.90628412397484,
VERGOGNA,TRISTEZZA,,,,,,,,,0,0,0,0,,,,,0,0,0,9,,,,,,,,,,,,,,,,,-145.4160283075707,vergogna,195.5556186868585,Vergogna,4,[-161.0],[-111.0],[1],[0],[0],[2.3498599096595854],['Vergogna_4'],0.011147573370976716,None,,,,,,,,,,,,,,,,,,,,,,,,,,,07,001,healthy,23,f,17,1,aurora,2022-03-31_08h56.38.359,pilot_AIM1,2022.1.1,84.90628412397484,
EUFORIA,GIOIA,,,,,,,,,0,0,0,0,,,,,0,1,1,1,,,,,,,,,,,,,,,,,54.05788812861766,euforia,197.62590923257,Euforia,4,[116.0],[160.0],[1],[0],[0],[2.915599097879749],['Euforia_4'],0.011175475980053307,None,,,,,,,,,,,,,,,,,,,,,,,,,,,07,001,healthy,23,f,17,1,aurora,2022-03-31_08h56.38.359,pilot_AIM1,2022.1.1,84.90628412397484,
PAURA,NEUTRO,,,,,,,,,0,0,0,0,,,,,0,2,2,10,,,,,,,,,,,,,,,,,-122.58836141077342,paura,187.52333188166213,Paura,4,[-101.0],[-158.0],[1],[0],[0],[2.3043286247414017],['Paura_4'],0.01116264719416904,None,,,,,,,,,,,,,,,,,,,,,,,,,,,07,001,healthy,23,f,17,1,aurora,2022-03-31_08h56.38.359,pilot_AIM1,2022.1.1,84.90628412397484,
RABBIA,DISPREZZO,,,,,,,,,0,0,0,0,,,,,0,3,3,4,,,,,,,,,,,,,,,,,104.47981483436062,rabbia,187.97074240423694,Rabbia,4,[-47.0],[182.0],[1],[0],[0],[1.3820986482307944],['Rabbia_4'],0.011224225365822349,None,,,,,,,,,,,,,,,,,,,,,,,,,,,07,001,healthy,23,f,17,1,aurora,2022-03-31_08h56.38.359,pilot_AIM1,2022.1.1,84.90628412397484,
SOLLIEVO,GIOIA,,,,,,,,,0,0,0,0,,,,,0,4,4,15,,,,,,,,,,,,,,,,,-12.86710414001906,soglievo,202.07424378183381,Sollievo,4,[197.0],[-45.0],[1],[0],[0],[2.4562740459551833],['Sollievo_4'],0.011167137269353589,None,,,,,,,,,,,,,,,,,,,,,,,,,,,07,001,healthy,23,f,17,1,aurora,2022-03-31_08h56.38.359,pilot_AIM1,2022.1.1,84.90628412397484,
TRISTEZZA,NEUTRO,,,,,,,,,0,0,0,0,,,,,0,5,5,11,,,,,,,,,,,,,,,,,-97.88313931672974,tristezza,196.86035659827502,Tristezza,4,[-27.0],[-195.0],[1],[0],[0],[2.1710782722703925],['Tristezza_4'],0.011211717299715929,None,,,,,,,,,,,,,,,,,,,,,,,,,,,07,001,healthy,23,f,17,1,aurora,2022-03-31_08h56.38.359,pilot_AIM1,2022.1.1,84.90628412397484,
COLPA,VERGOGNA,,,,,,,,,0,0,0,0,,,,,0,6,6,8,,,,,,,,,,,,,,,,,-169.5861745290108,colpa,188.09837851507388,Colpa,4,[-185.0],[-34.0],[1],[0],[0],[1.770786160819057],['Colpa_4'],0.01116906158722486,None,,,,,,,,,,,,,,,,,,,,,,,,,,,07,001,healthy,23,f,17,1,aurora,2022-03-31_08h56.38.359,pilot_AIM1,2022.1.1,84.90628412397484,
SORPRESA,GIOIA,,,,,,,,,0,0,0,0,,,,,0,7,7,12,,,,,,,,,,,,,,,,,-77.13289585998093,sorpresa,202.07424378183381,Sorpresa,4,[45.0],[-197.0],[1],[0],[0],[2.573111891386361],['Sorpresa_4'],0.011209472262180498,None,,,,,,,,,,,,,,,,,,,,,,,,,,,07,001,healthy,23,f,17,1,aurora,2022-03-31_08h56.38.359,pilot_AIM1,2022.1.1,84.90628412397484,
ORGOGLIO,NEUTRO,,,,,,,,,0,0,0,0,,,,,0,8,8,3,,,,,,,,,,,,,,,,,80.49322801073431,orgoglio,211.91035840656775,Orgoglio,4,[35.0],[209.0],[1],[0],[0],[1.0756853458062778],['Orgoglio_4'],0.011193115560445221,None,,,,,,,,,,,,,,,,,,,,,,,,,,,07,001,healthy,23,f,17,1,aurora,2022-03-31_08h56.38.359,pilot_AIM1,2022.1.1,84.90628412397484,
SODDISFAZIONE,EUFORIA,,,,,,,,,0,0,0,0,,,,,0,9,9,0,,,,,,,,,,,,,,,,,8.829744667909067,soddisfazione,208.47062143141417,Soddisfazione,4,[206.0],[32.0],[1],[0],[0],[1.1464697747393302],['Soddisfazione_4'],0.011204340747781316,None,,,,,,,,,,,,,,,,,,,,,,,,,,,07,001,healthy,23,f,17,1,aurora,2022-03-31_08h56.38.359,pilot_AIM1,2022.1.1,84.90628412397484,
INVIDIA,NEUTRO,,,,,,,,,0,0,0,0,,,,,0,10,10,7,,,,,,,,,,,,,,,,,168.5134110060776,invidia,190.8219064992277,Invidia,4,[-187.0],[38.0],[1],[0],[0],[1.209409721910447],['Invidia_4'],0.011391641019827148,None,,,,,,,,,,,,,,,,,,,,,,,,,,,07,001,healthy,23,f,17,1,aurora,2022-03-31_08h56.38.359,pilot_AIM1,2022.1.1,84.90628412397484,
SPERANZA,NEUTRO,,,,,,,,,0,0,0,0,,,,,0,11,11,14,,,,,,,,,,,,,,,,,-34.08411756830693,speranza,201.6382900145704,Speranza,4,[167.0],[-113.0],[1],[0],[0],[2.6200662093632445],['Speranza_4'],0.011187663326495567,None,,,,,,,,,,,,,,,,,,,,,,,,,,,07,001,healthy,23,f,17,1,aurora,2022-03-31_08h56.38.359,pilot_AIM1,2022.1.1,84.90628412397484,
GIOIA,SODDISFAZIONE,,,,,,,,,0,0,0,0,,,,,0,12,12,2,,,,,,,,,,,,,,,,,34.66108945705895,gioia,212.7580785775243,Gioia,4,[175.0],[121.0],[1],[0],[0],[1.38214579401847],['Gioia_4'],0.011183814690639338,None,,,,,,,,,,,,,,,,,,,,,,,,,,,07,001,healthy,23,f,17,1,aurora,2022-03-31_08h56.38.359,pilot_AIM1,2022.1.1,84.90628412397484,
DISPREZZO,INVIDIA,,,,,,,,,0,0,0,0,,,,,0,13,13,5,,,,,,,,,,,,,,,,,127.53480914387859,disprezzo,206.81392603013947,Disprezzo,4,[-126.0],[164.0],[1],[0],[0],[1.6176014789024293],['Disprezzo_4'],0.01119792635495287,None,,,,,,,,,,,,,,,,,,,,,,,,,,,07,001,healthy,23,f,17,1,aurora,2022-03-31_08h56.38.359,pilot_AIM1,2022.1.1,84.90628412397484,
INTERESSE,SORPRESA,,,,,,,,,0,0,0,0,,,,,0,14,14,13,,,,,,,,,,,,,,,,,-53.0732048758252,interesse,201.40009930484146,Interesse,4,[121.0],[-161.0],[1],[0],[0],[2.268132205768552],['Interesse_4'],0.011220056010529333,None,,,,,,,,,,,,,,,,,,,,,,,,,,,07,001,healthy,23,f,17,1,aurora,2022-03-31_08h56.38.359,pilot_AIM1,2022.1.1,84.90628412397484,
DISGUSTO,NEUTRO,,,,,,,,,0,0,0,0,,,,,0,15,15,6,,,,,,,,,,,,,,,,,151.17619336160837,disgusto,192.89893727027115,Disgusto,4,[-169.0],[93.0],[1],[0],[0],[0.8991333513791915],['Disgusto_4'],0.0112001713924883,None,,,,,,,,,,,,,,,,,,,,,,,,,,,07,001,healthy,23,f,17,1,aurora,2022-03-31_08h56.38.359,pilot_AIM1,2022.1.1,84.90628412397484,
,,stimoli/02.subtle/JF1_Happiness.wmv,happy,subtle,femmina,5,10,1646,926,0,0,0,0,,,,,,,,,0,0,0,12,,,,,,,,,,,,,-5.5915577557571865,soglievo,143.68368035375485,sollievo,4,,,,,,,,,,happy,[-113.0],[-14.0],[1],[0],[0],[8.283063308774786],['sollievo_4'],0.010922428181288524,None,1.8965183032092885,soddisfazione,257.4567924914781,soddisfazione,3,[348.0],[20.0],[1],[0],[0],[3.278812490618975],['soddisfazione_7'],8.723574308078241e-05,None,,,07,001,healthy,23,f,17,1,aurora,2022-03-31_08h56.38.359,pilot_AIM1,2022.1.1,84.90628412397484,
